"year","make","model"
"2015","VOLKSWAGEN","CADDY"
"2015","VOLKSWAGEN","CC"
"2015","VOLKSWAGEN","CRAFTER"
"2015","VOLKSWAGEN","E-GOLF"
"2015","VOLKSWAGEN","EOS"
"2015","VOLKSWAGEN","GOLF"
"2015","VOLKSWAGEN","GTI"
"2015","VOLKSWAGEN","JETTA"
"2015","VOLKSWAGEN","PASSAT"
"2015","VOLKSWAGEN","TIGUAN"
"2015","VOLKSWAGEN","TOUAREG"
"2015","VOLVO","S60"
"2015","VOLVO","S80"
"2015","VOLVO","V60"
"2015","VOLVO","V60 CROSS COUNTRY"
"2015","VOLVO","XC60"
"2015","VOLVO","XC70"
"2015","YAMAHA","SR400"
"2016","KIA","SORENTO"
"2016","MAZDA","6"
"2016","MAZDA","CX-5"
"2016","VOLVO","XC90"
